timeStep,x,y,size,gridCount-PID7
8,15.0,5.0,5.0,0
8,20.0,0.0,5.0,0
8,20.0,5.0,5.0,0
8,25.0,0.0,5.0,0
8,25.0,5.0,5.0,0
8,30.0,0.0,5.0,0
8,30.0,5.0,5.0,0
8,35.0,0.0,5.0,0
8,35.0,5.0,5.0,0
8,40.0,0.0,5.0,0
8,40.0,5.0,5.0,0
8,45.0,0.0,5.0,0
8,45.0,5.0,5.0,0
8,50.0,0.0,5.0,0
8,50.0,5.0,5.0,0
8,55.0,0.0,5.0,0
8,55.0,5.0,5.0,0
8,60.0,0.0,5.0,0
8,60.0,5.0,5.0,0
8,65.0,0.0,5.0,0
8,65.0,5.0,5.0,0
8,70.0,0.0,5.0,0
8,70.0,5.0,5.0,0
8,75.0,0.0,5.0,0
8,75.0,5.0,5.0,0
8,80.0,0.0,5.0,0
8,80.0,5.0,5.0,0
8,85.0,0.0,5.0,0
8,85.0,5.0,5.0,0
8,90.0,0.0,5.0,0
8,90.0,5.0,5.0,0
8,95.0,0.0,5.0,0
8,95.0,5.0,5.0,0
9,0.0,0.0,5.0,0
9,0.0,5.0,5.0,0
9,5.0,0.0,5.0,2
9,5.0,5.0,5.0,3
9,10.0,0.0,5.0,0
9,10.0,5.0,5.0,0
9,15.0,0.0,5.0,0
9,15.0,5.0,5.0,0
9,20.0,0.0,5.0,0
9,20.0,5.0,5.0,0
9,25.0,0.0,5.0,0
9,25.0,5.0,5.0,0
9,30.0,0.0,5.0,0
9,30.0,5.0,5.0,0
9,35.0,0.0,5.0,0
9,35.0,5.0,5.0,0
9,40.0,0.0,5.0,0
9,40.0,5.0,5.0,0
9,45.0,0.0,5.0,0
9,45.0,5.0,5.0,0
9,50.0,0.0,5.0,0
9,50.0,5.0,5.0,0
9,55.0,0.0,5.0,0
9,55.0,5.0,5.0,0
9,60.0,0.0,5.0,0
9,60.0,5.0,5.0,0
9,65.0,0.0,5.0,0
9,65.0,5.0,5.0,0
9,70.0,0.0,5.0,0
9,70.0,5.0,5.0,0
9,75.0,0.0,5.0,0
9,75.0,5.0,5.0,0
9,80.0,0.0,5.0,0
9,80.0,5.0,5.0,0
9,85.0,0.0,5.0,0
9,85.0,5.0,5.0,0
